"#","Title","Views","Likes","Dislikes","Comments","Reputation","Rep_v2","Rep_live","Custom","Action"
"51","Stephen A. and Max react to LeBron James' broken hand | First Take | ESPN","746,980","6,918","950","4,662","504","93","2,831","No","Delete"
"52","THE NBA � A Bad Lip Reading","2,757,653","86,377","1,242","5,212","1,851","277","10,805","No","Delete"
"53","THE NBA � A Bad Lip Reading","1,794,615","60,271","831","4,049","1,438","223","7,950","No","Delete"
"54","THE NBA � A Bad Lip Reading","888,895","37,218","448","2,584","1,016","165","4,969","No","Delete"
"55","Shaq's Babysitting Gig Led to His Google Riches","788,301","11,660","270","871","434","80","1,319","No","Delete"
"56","Shaq's Babysitting Gig Led to His Google Riches","462,328","7,191","150","530","305","59","676","No","Delete"
"57","Shaq's Babysitting Gig Led to His Google Riches","206,975","4,233","59","293","206","42","300","No","Delete"
"58","Town Hall 12 Update is Here! (Clash of Clans Official)","10,531,608","122,553","7,011","10,736","2,414","356","16,361","No","Delete"
"59","Town Hall 12 Update is Here! (Clash of Clans Official)","8,438,104","112,731","6,095","10,046","2,280","338","15,287","No","Delete"
"60","Town Hall 12 Update is Here! (Clash of Clans Official)","6,173,038","90,478","3,877","7,726","1,946","294","12,443","No","Delete"
"61","International Dunkin Donuts Taste Test","1,071,182","29,145","608","3,598","909","150","4,632","No","Delete"
"62","International Dunkin Donuts Taste Test","949,521","27,302","537","3,341","866","144","4,303","No","Delete"
"63","International Dunkin' Donuts Taste Test","716,521","23,381","375","2,871","775","131","3,626","No","Delete"
"64","Marjory Stoneman Douglas High School Students Perform At The 2018 Tony Awards","764,650","13,596","2,572","1,310","456","87","2,050","No","Delete"
"65","Marjory Stoneman Douglas High School Students Perform At The 2018 Tony Awards","685,973","12,065","2,045","1,073","418","81","1,696","No","Delete"
"66","Marjory Stoneman Douglas High School Students Perform At The 2018 Tony Awards","509,062","8,667","1,047","672","330","65","1,006","No","Delete"
"67","The Elder Scrolls VI � Official E3 Announcement Teaser","5,254,340","153,440","2,266","25,862","3,246","450","22,701","No","Delete"
"68","The Elder Scrolls VI � Official E3 Announcement Teaser","4,918,315","146,271","2,060","24,377","3,129","436","21,768","No","Delete"
"69","The Elder Scrolls VI � Official E3 Announcement Teaser","4,239,111","131,431","1,677","21,844","2,895","407","19,957","No","Delete"
"70","Kardashian Vs West! Let's meet the teams! | Celebrity Family Feud","3,746,583","40,193","3,415","5,248","1,116","185","6,925","No","Delete"
"71","Kardashian Vs West! Let's meet the teams! | Celebrity Family Feud","3,154,939","34,921","2,991","4,835","1,018","170","6,160","No","Delete"
"72","Kardashian Vs West! Let's meet the teams! | Celebrity Family Feud","2,106,397","24,694","2,126","3,853","808","140","4,521","No","Delete"
"73","Cyberpunk 2077 � official E3 2018 trailer","9,893,438","247,947","3,408","29,216","4,328","576","29,538","No","Delete"
"74","Cyberpunk 2077 � official E3 2018 trailer","4,929,812","211,620","2,782","24,580","3,849","521","26,050","No","Delete"
